60 GB	50 GB	45 GB	
1.78551	1.92973	1.77773	
1.76523	1.907	1.78755	
1.7591	1.91909	1.81242	
1.75759	1.89837	1.81219	
1.75619	1.8914	1.81078	
1.75759	1.88273	1.79462	
1.75087	1.88048	1.79596	
1.70973	1.88848	1.78787	
1.69523	1.89768	1.78089	
1.69559	1.89937	1.78446	
1.68533	1.91976	1.76669	
1.68044	1.89198	1.77752	
1.68478	1.87926	1.78194	
1.67836	1.86406	1.77416	
1.68072	1.87582	1.76767	
1.67992	1.85938	1.77288	
1.68652	1.87046	1.78284	
1.68413	1.86537	1.79412	
1.69853	1.87539	1.75927	
1.68161	1.8701	1.74519	
1.63225	1.91582	1.73529	
1.63584	1.93106	1.71319	
1.63515	1.93125	1.67395	
1.64286	1.93539	1.65962	
1.64486	1.94112	1.65394	
1.65547	1.97125	1.65392	
1.6536	1.97818	1.66359	
1.6522	1.97155	1.65228	
1.65106	2.049	1.67043	
1.65254	2.06972	1.69163	
1.66636	2.02233	1.68157	
1.66869	2.01744	1.67202	
1.68883	2.01014	1.67105	
1.69913	1.99142	1.67389	
1.72481	1.97035	1.67444	
1.72581	1.98437	1.67117	
1.72402	1.98304	1.66949	
1.72712	1.97258	1.67287	
1.70981	1.9845	1.6759	
1.71097	1.98296	1.6928	
1.73271	1.93887	1.71399	
1.74779	1.94384	1.72229	
1.76325	1.97477	1.72947	
1.76721	1.96458	1.75279	
1.76241	1.9652	1.75717	
1.75601	1.93806	1.78574	
1.75697	1.92578	1.78114	
1.77622	1.95066	1.80865	
1.78464	1.88691	1.811	
1.79023	1.86243	1.78389	
1.77251	1.85639	1.80796	
1.78124	1.86641	1.83795	
1.75572	1.88063	1.8399	
1.75216	1.87863	1.83928	
1.73313	1.89934	1.85291	
1.74595	1.8922	1.87773	
1.74408	1.90267	1.88738	
1.7504	1.90504	1.89382	
1.76487	1.88168	1.919	
1.76771	1.87782	1.91856	
1.77295	1.92041	1.89783	
1.75707	1.93744	1.90109	
1.76239	1.8978	1.89945	
1.76801	1.90311	1.87622	
1.78007	1.90862	1.89452	
1.77949	1.90149	1.86681	
1.77881	1.92713	1.87626	
1.76	1.89001	1.85243	
1.75104	1.88852	1.82567	
1.75091	1.91144	1.84383	
1.77087	1.91961	1.8365	
1.77967	1.9092	1.81176	
1.80338	1.89965	1.84075	
1.81062	1.90214	1.84431	
1.79903	1.88399	1.8355	
1.78444	1.86421	1.81192	
1.78627	1.84229	1.7995	
1.78834	1.84257	1.77838	
1.79779	1.86876	1.74885	
1.80732	1.86569	1.73223	
1.82852	1.81828	1.73454	
1.8501	1.77554	1.72684	
1.82272	1.76591	1.77848	
1.80767	1.76094	1.7873	
1.794	1.75185	1.7714	
1.77989	1.76861	1.7677	
1.78316	1.77716	1.75019	
1.79431	1.79866	1.75094	
1.81731	1.78814	1.77744	
1.825	1.78856	1.75919	
1.82033	1.7908	1.77949	
1.81929	1.79789	1.7788	
1.80054	1.80527	1.74462	
1.79421	1.83281	1.73872	
1.79771	1.83048	1.74286	
1.80142	1.83403	1.75743	
1.80005	1.86345	1.77279	
1.80353	1.87107	1.77128	
1.79199	1.86598	1.77928	
1.78954	1.87122	1.78741	
1.74966	1.88035	1.78299	
1.74091	1.89675	1.77593	
1.75424	1.91796	1.71658	
1.75885	1.93541	1.71426	
1.76509	1.93804	1.71626	
1.77279	1.92174	1.7347	
1.77065	1.88426	1.73551	
1.76257	1.87326	1.7535	
1.77046	1.87223	1.74169	
1.76128	1.85315	1.74875	
1.74802	1.84272	1.72115	
1.736	1.83776	1.73421	
1.73271	1.8224	1.73397	
1.73035	1.78843	1.75218	
1.74175	1.78941	1.77792	
1.769	1.79019	1.78247	
1.78007	1.77326	1.7906	
1.79937	1.76072	1.8315	
1.79414	1.75386	1.83154	
1.80328	1.76227	1.85024	
1.81311	1.75365	1.88327	
1.80809	1.78528	1.91319	
1.8777	1.76825	1.91828	
1.88366	1.76597	1.91752	
1.88771	1.7664	1.92653	
1.89077	1.8006	1.91461	
1.93119	1.80974	1.96754	
1.94725	1.81261	1.95274	
1.93067	1.81098	1.98036	
1.93969	1.80673	1.97277	
1.95046	1.82405	1.98194	
1.97696	1.83149	1.99692	
1.98483	1.83876	2.03448	
1.99826	1.84219	2.01688	
1.99544	1.85776	1.9845	
2.00856	1.86196	1.96074	
2.0082	1.86927	1.96026	
1.97354	1.88203	1.92313	
1.96891	1.86335	1.96557	
1.95801	1.87329	1.95305	
1.94478	1.88254	1.92065	
1.94969	1.83989	1.91656	
1.9127	1.84864	1.92054	
1.91164	1.84516	1.94142	
1.90763	1.85003	1.94609	
1.91037	1.84053	1.97962	
1.88006	1.84787	1.95029	
1.87497	1.84796	1.95837	
1.87304	1.8601	1.93912	
1.86932	1.86183	1.94308	
1.86123	1.86991	1.94583	
1.83598	1.86839	1.91806	
1.8411	1.86316	1.90311	
1.83819	1.85904	1.90106	
1.84188	1.83926	1.90127	
1.80503	1.83239	1.90559	
1.82632	1.81952	1.88312	
1.83593	1.82601	1.90549	
1.83551	1.83675	1.87126	
1.83128	1.8467	1.86647	
1.85012	1.84098	1.87093	
1.85593	1.85281	1.84564	
1.83507	1.84807	1.85068	
1.83758	1.83547	1.83329	
1.85331	1.85624	1.81467	
1.84291	1.83287	1.7853	
1.83116	1.82732	1.77344	
1.82257	1.8171	1.75135	
1.82132	1.80296	1.75195	
1.80813	1.80697	1.75684	
1.80103	1.78059	1.76836	
1.79263	1.77894	1.7639	
1.7791	1.80299	1.77283	
1.76058	1.83012	1.78318	
1.74684	1.85319	1.78702	
1.74257	1.86227	1.79189	
1.70639	1.86415	1.79117	
1.69538	1.8545	1.79612	
1.69889	1.85619	1.79322	
