60 GB	50 GB	45 GB	
94.4	99.2	94.4	
94.4	99.2	94.4	
96	99.2	94.4	
96	99.2	94.4	
96	99.2	94.4	
96	99.2	94.4	
92.8	100.8	94.4	
92.8	100.8	94.4	
92.8	100.8	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	100.8	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
91.2	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	99.2	96	
94.4	99.2	96	
94.4	99.2	96	
94.4	99.2	96	
94.4	99.2	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	97.6	96	
96	97.6	96	
94.4	97.6	96	
94.4	99.2	96	
94.4	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	100.8	96	
92.8	100.8	96	
92.8	100.8	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	100.8	96	
91.2	100.8	96	
91.2	100.8	96	
91.2	100.8	97.6	
91.2	99.2	97.6	
91.2	99.2	97.6	
92.8	99.2	97.6	
94.4	99.2	97.6	
94.4	99.2	97.6	
94.4	99.2	97.6	
94.4	97.6	97.6	
92.8	97.6	97.6	
92.8	97.6	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	97.6	94.4	
94.4	97.6	94.4	
94.4	97.6	94.4	
94.4	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	94.4	
92.8	99.2	92.8	
94.4	99.2	92.8	
94.4	99.2	94.4	
94.4	97.6	94.4	
94.4	97.6	94.4	
92.8	97.6	94.4	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
91.2	97.6	96	
91.2	99.2	94.4	
92.8	99.2	94.4	
92.8	97.6	94.4	
92.8	97.6	94.4	
92.8	96	94.4	
92.8	96	94.4	
92.8	96	94.4	
91.2	96	96	
91.2	96	96	
91.2	96	94.4	
91.2	97.6	96	
91.2	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
91.2	97.6	97.6	
92.8	97.6	97.6	
92.8	96	96	
91.2	96	94.4	
91.2	97.6	94.4	
91.2	97.6	94.4	
91.2	97.6	94.4	
91.2	97.6	94.4	
91.2	99.2	94.4	
92.8	99.2	96	
91.2	99.2	96	
91.2	99.2	97.6	
91.2	97.6	94.4	
91.2	97.6	94.4	
91.2	97.6	94.4	
89.6	99.2	94.4	
89.6	99.2	94.4	
89.6	99.2	94.4	
89.6	99.2	94.4	
89.6	99.2	94.4	
91.2	99.2	92.8	
91.2	99.2	92.8	
91.2	99.2	94.4	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	96	
91.2	99.2	96	
91.2	99.2	94.4	
92.8	99.2	96	
92.8	99.2	96	
92.8	99.2	97.6	
92.8	99.2	96	
92.8	99.2	96	
94.4	97.6	96	
94.4	97.6	96	
94.4	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
92.8	97.6	96	
91.2	97.6	96	
91.2	97.6	96	
91.2	97.6	96	
91.2	97.6	96	
91.2	97.6	96	
91.2	97.6	96	
92.8	96	97.6	
92.8	96	97.6	
92.8	96	94.4	
92.8	96	96	
92.8	?	96	
92.8	?	97.6	
92.8	?	97.6	
92.8	?	97.6	
92.8	?	97.6	
91.2	?	97.6	
92.8	?	97.6	
92.8	?	97.6	
92.8	?	97.6	
92.8	?	97.6	
94.4	?	97.6	
94.4	?	97.6	
94.4	?	97.6	
94.4	?	97.6	
94.4	?	97.6	
94.4	?	97.6	
94.4	?	96	
94.4	?	96	
94.4	?	97.6	
92.8	
92.8	
91.2	
91.2	
91.2	
91.2	
92.8	
92.8	
94.4	
94.4	
94.4	
94.4	
92.8	
92.8	
92.8	
92.8	
92.8	
92.8	
92.8	
92.8	
94.4	
92.8	
