45 GB	40 GB	35 GB	30 GB	
132.8	139.2	123.2	92.8	
131.2	139.2	123.2	92.8	
129.6	137.6	124.8	91.2	
131.2	136	123.2	91.2	
128	136	120	91.2	
129.6	132.8	116.8	91.2	
134.4	132.8	118.4	91.2	
134.4	136	120	91.2	
137.6	134.4	120	89.6	
136	136	118.4	89.6	
137.6	137.6	115.2	89.6	
137.6	142.4	113.6	88	
134.4	144	115.2	91.2	
129.6	144	115.2	89.6	
129.6	145.6	115.2	89.6	
129.6	144	113.6	89.6	
126.4	145.6	110.4	89.6	
128	147.2	112	88	
124.8	144	112	88	
124.8	140.8	112	88	
124.8	137.6	115.2	89.6	
123.2	139.2	116.8	89.6	
126.4	139.2	118.4	91.2	
123.2	139.2	120	91.2	
126.4	140.8	121.6	89.6	
124.8	142.4	121.6	89.6	
121.6	144	121.6	89.6	
120	142.4	121.6	89.6	
120	142.4	121.6	91.2	
120	140.8	121.6	91.2	
118.4	139.2	123.2	91.2	
116.8	136	124.8	92.8	
116.8	132.8	126.4	91.2	
116.8	134.4	128	92.8	
120	136	126.4	92.8	
121.6	134.4	126.4	92.8	
124.8	134.4	126.4	91.2	
121.6	131.2	124.8	92.8	
123.2	132.8	128	92.8	
123.2	131.2	129.6	92.8	
123.2	131.2	128	92.8	
124.8	131.2	124.8	92.8	
126.4	129.6	128	92.8	
128	131.2	123.2	92.8	
129.6	131.2	121.6	94.4	
128	131.2	121.6	92.8	
129.6	129.6	121.6	92.8	
129.6	131.2	120	92.8	
129.6	131.2	120	92.8	
128	131.2	120	92.8	
129.6	131.2	120	92.8	
129.6	132.8	120	92.8	
129.6	136	120	92.8	
132.8	136	118.4	92.8	
131.2	131.2	115.2	91.2	
126.4	132.8	115.2	91.2	
128	131.2	113.6	92.8	
129.6	129.6	115.2	92.8	
129.6	128	112	92.8	
129.6	131.2	112	92.8	
129.6	132.8	115.2	92.8	
129.6	132.8	115.2	92.8	
128	136	112	92.8	
128	132.8	115.2	92.8	
126.4	131.2	120	92.8	
128	132.8	120	94.4	
129.6	131.2	121.6	92.8	
129.6	131.2	121.6	92.8	
128	131.2	120	92.8	
131.2	132.8	120	92.8	
128	134.4	120	92.8	
128	132.8	120	92.8	
129.6	132.8	121.6	92.8	
128	132.8	123.2	92.8	
128	134.4	124.8	94.4	
132.8	134.4	123.2	94.4	
129.6	134.4	126.4	94.4	
129.6	136	126.4	94.4	
129.6	136	129.6	94.4	
132.8	134.4	129.6	92.8	
132.8	132.8	126.4	92.8	
129.6	131.2	126.4	92.8	
128	131.2	126.4	92.8	
126.4	134.4	124.8	92.8	
128	132.8	120	92.8	
126.4	131.2	121.6	92.8	
123.2	132.8	123.2	94.4	
123.2	132.8	131.2	94.4	
129.6	134.4	131.2	94.4	
131.2	132.8	131.2	94.4	
132.8	132.8	131.2	94.4	
132.8	131.2	132.8	94.4	
136	131.2	126.4	92.8	
139.2	131.2	124.8	92.8	
137.6	129.6	124.8	92.8	
136	128	124.8	92.8	
142.4	128	124.8	92.8	
144	129.6	123.2	92.8	
148.8	128	121.6	92.8	
147.2	128	118.4	94.4	
145.6	129.6	120	94.4	
147.2	132.8	123.2	94.4	
145.6	131.2	123.2	92.8	
152	129.6	123.2	92.8	
153.6	131.2	123.2	92.8	
156.8	131.2	123.2	92.8	
163.2	129.6	120	92.8	
163.2	129.6	112	92.8	
158.4	129.6	113.6	92.8	
158.4	131.2	113.6	92.8	
163.2	129.6	112	92.8	
169.6	131.2	110.4	92.8	
166.4	129.6	115.2	94.4	
163.2	131.2	116.8	94.4	
166.4	131.2	116.8	94.4	
164.8	132.8	118.4	94.4	
161.6	134.4	118.4	92.8	
163.2	131.2	121.6	92.8	
158.4	132.8	124.8	92.8	
164.8	134.4	128	92.8	
171.2	131.2	129.6	92.8	
179.2	129.6	126.4	92.8	
185.6	131.2	126.4	94.4	
185.6	129.6	126.4	94.4	
188.8	131.2	131.2	92.8	
192	129.6	129.6	92.8	
193.6	132.8	129.6	92.8	
198.4	134.4	129.6	92.8	
203.2	134.4	129.6	92.8	
200	131.2	131.2	92.8	
198.4	131.2	131.2	92.8	
198.4	129.6	131.2	92.8	
201.6	128	128	92.8	
208	124.8	128	92.8	
211.2	124.8	129.6	91.2	
212.8	123.2	131.2	91.2	
217.6	121.6	131.2	92.8	
219.2	121.6	128	92.8	
225.6	124.8	124.8	92.8	
220.8	124.8	124.8	92.8	
220.8	126.4	121.6	92.8	
216	126.4	128	92.8	
216	129.6	128	91.2	
216	134.4	129.6	91.2	
214.4	136	128	92.8	
212.8	139.2	128	92.8	
212.8	140.8	128	92.8	
211.2	145.6	129.6	92.8	
209.6	147.2	129.6	92.8	
214.4	155.2	129.6	92.8	
214.4	160	131.2	92.8	
209.6	168	131.2	92.8	
204.8	172.8	132.8	92.8	
198.4	179.2	129.6	91.2	
200	184	128	92.8	
204.8	185.6	126.4	92.8	
204.8	185.6	126.4	92.8	
203.2	188.8	126.4	92.8	
201.6	192	126.4	92.8	
206.4	195.2	126.4	92.8	
206.4	196.8	129.6	92.8	
209.6	200	124.8	92.8	
209.6	196.8	126.4	94.4	
211.2	200	124.8	94.4	
211.2	201.6	121.6	94.4	
211.2	206.4	123.2	94.4	
203.2	204.8	124.8	94.4	
200	200	123.2	94.4	
196.8	203.2	121.6	94.4	
196.8	196.8	121.6	92.8	
193.6	192	120	92.8	
195.2	190.4	118.4	92.8	
193.6	192	116.8	92.8	
200	187.2	116.8	94.4	
198.4	187.2	118.4	94.4	
198.4	190.4	120	94.4	
198.4	192	120	94.4	
200	195.2	121.6	92.8	
195.2	195.2	121.6	92.8	
192	195.2	120	92.8	
193.6	198.4	118.4	92.8	
193.6	201.6	118.4	92.8	
193.6	204.8	116.8	92.8	
195.2	201.6	115.2	91.2	
195.2	201.6	116.8	91.2	
198.4	200	116.8	91.2	
204.8	204.8	115.2	91.2	
209.6	208	116.8	91.2	
211.2	208	120	91.2	
209.6	212.8	118.4	92.8	
211.2	217.6	120	92.8	
209.6	217.6	123.2	92.8	
217.6	216	124.8	92.8	
214.4	220.8	126.4	92.8	
209.6	224	128	92.8	
208	225.6	124.8	92.8	
