5 GB	40 GB	35 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
209.6	187.2	198.4	201.6	160	140.8	161.6	99.2	
209.6	187.2	195.2	203.2	161.6	140.8	163.2	97.6	
206.4	188.8	198.4	204.8	160	139.2	163.2	97.6	
203.2	188.8	201.6	203.2	158.4	137.6	164.8	97.6	
200	193.6	198.4	203.2	156.8	136	164.8	99.2	
195.2	193.6	198.4	201.6	155.2	136	164.8	99.2	
192	198.4	200	201.6	156.8	136	164.8	99.2	
187.2	198.4	201.6	203.2	156.8	136	163.2	99.2	
184	201.6	203.2	200	156.8	137.6	161.6	99.2	
180.8	201.6	203.2	200	156.8	137.6	161.6	100.8	
177.6	203.2	203.2	201.6	155.2	137.6	163.2	100.8	
174.4	203.2	203.2	203.2	155.2	139.2	161.6	100.8	
172.8	206.4	201.6	201.6	153.6	139.2	161.6	100.8	
169.6	204.8	203.2	201.6	152	139.2	158.4	100.8	
166.4	206.4	201.6	196.8	150.4	142.4	158.4	100.8	
163.2	206.4	200	198.4	152	142.4	158.4	99.2	
160	206.4	203.2	200	150.4	144	156.8	97.6	
158.4	206.4	203.2	196.8	152	147.2	156.8	96	
153.6	206.4	201.6	198.4	150.4	145.6	155.2	97.6	
155.2	206.4	203.2	196.8	148.8	147.2	153.6	97.6	
153.6	208	201.6	198.4	147.2	147.2	153.6	97.6	
153.6	209.6	203.2	196.8	145.6	147.2	150.4	97.6	
156.8	209.6	201.6	196.8	147.2	147.2	150.4	97.6	
156.8	211.2	201.6	198.4	148.8	147.2	145.6	99.2	
160	209.6	203.2	196.8	150.4	148.8	144	97.6	
158.4	211.2	203.2	196.8	153.6	148.8	144	97.6	
161.6	209.6	203.2	195.2	155.2	147.2	140.8	99.2	
161.6	211.2	201.6	192	155.2	147.2	140.8	99.2	
160	211.2	200	192	156.8	147.2	140.8	99.2	
158.4	211.2	201.6	193.6	158.4	145.6	139.2	97.6	
158.4	211.2	200	192	161.6	144	136	97.6	
156.8	212.8	201.6	190.4	163.2	144	136	99.2	
155.2	211.2	201.6	188.8	164.8	144	132.8	99.2	
156.8	211.2	200	188.8	169.6	148.8	131.2	99.2	
153.6	209.6	198.4	192	172.8	147.2	129.6	99.2	
155.2	211.2	198.4	190.4	176	147.2	128	97.6	
158.4	209.6	196.8	190.4	179.2	147.2	126.4	99.2	
160	208	195.2	190.4	182.4	142.4	124.8	99.2	
160	208	195.2	187.2	185.6	145.6	124.8	99.2	
158.4	206.4	193.6	188.8	187.2	144	124.8	97.6	
156.8	206.4	195.2	187.2	192	142.4	126.4	99.2	
152	203.2	192	187.2	193.6	142.4	128	97.6	
152	203.2	195.2	187.2	195.2	144	129.6	99.2	
150.4	203.2	193.6	185.6	196.8	144	134.4	97.6	
148.8	203.2	193.6	184	196.8	142.4	134.4	97.6	
155.2	203.2	195.2	187.2	196.8	142.4	134.4	97.6	
156.8	203.2	195.2	187.2	198.4	142.4	136	96	
158.4	203.2	196.8	187.2	200	140.8	137.6	97.6	
158.4	203.2	196.8	188.8	200	137.6	134.4	97.6	
161.6	203.2	200	187.2	201.6	137.6	137.6	97.6	
161.6	201.6	201.6	188.8	201.6	136	137.6	97.6	
163.2	203.2	201.6	190.4	203.2	132.8	137.6	96	
164.8	201.6	203.2	190.4	204.8	132.8	136	96	
164.8	203.2	206.4	192	201.6	128	136	94.4	
166.4	204.8	209.6	188.8	201.6	129.6	136	94.4	
164.8	203.2	211.2	190.4	201.6	128	134.4	96	
161.6	204.8	212.8	187.2	201.6	128	134.4	96	
160	204.8	216	190.4	200	131.2	132.8	94.4	
160	206.4	217.6	192	200	129.6	132.8	94.4	
158.4	208	220.8	190.4	204.8	131.2	132.8	96	
160	208	220.8	190.4	204.8	131.2	129.6	94.4	
161.6	208	225.6	190.4	206.4	131.2	128	96	
158.4	208	225.6	190.4	206.4	129.6	124.8	94.4	
160	204.8	227.2	192	208	128	121.6	94.4	
160	206.4	230.4	192	209.6	129.6	123.2	96	
156.8	204.8	230.4	190.4	212.8	129.6	120	96	
153.6	206.4	233.6	190.4	212.8	128	118.4	96	
155.2	204.8	233.6	192	214.4	128	116.8	94.4	
158.4	203.2	235.2	193.6	214.4	129.6	120	94.4	
155.2	204.8	233.6	195.2	214.4	128	120	94.4	
153.6	203.2	233.6	193.6	216	129.6	118.4	94.4	
150.4	200	235.2	192	214.4	131.2	118.4	94.4	
148.8	203.2	235.2	195.2	214.4	131.2	120	94.4	
147.2	201.6	233.6	195.2	216	129.6	118.4	96	
145.6	201.6	233.6	201.6	216	128	116.8	96	
144	201.6	232	200	214.4	126.4	118.4	94.4	
145.6	201.6	233.6	203.2	216	126.4	120	94.4	
147.2	200	230.4	204.8	217.6	123.2	121.6	96	
148.8	198.4	232	206.4	216	123.2	121.6	96	
152	198.4	230.4	208	212.8	121.6	121.6	97.6	
150.4	196.8	232	209.6	212.8	123.2	123.2	97.6	
153.6	196.8	232	209.6	212.8	123.2	123.2	97.6	
153.6	195.2	230.4	209.6	212.8	124.8	124.8	97.6	
153.6	196.8	230.4	206.4	212.8	126.4	124.8	97.6	
155.2	195.2	228.8	208	212.8	124.8	124.8	94.4	
156.8	195.2	228.8	208	212.8	124.8	128	94.4	
155.2	195.2	228.8	211.2	212.8	126.4	129.6	92.8	
153.6	196.8	228.8	212.8	212.8	126.4	131.2	92.8	
150.4	196.8	228.8	211.2	214.4	126.4	131.2	94.4	
152	196.8	227.2	211.2	214.4	128	129.6	94.4	
155.2	198.4	230.4	211.2	216	128	131.2	94.4	
156.8	198.4	228.8	212.8	217.6	128	131.2	94.4	
156.8	193.6	228.8	212.8	217.6	126.4	131.2	94.4	
156.8	195.2	227.2	212.8	220.8	131.2	132.8	94.4	
156.8	190.4	227.2	209.6	222.4	132.8	136	94.4	
156.8	190.4	228.8	211.2	225.6	134.4	136	94.4	
156.8	187.2	227.2	211.2	227.2	132.8	137.6	94.4	
155.2	185.6	228.8	209.6	227.2	132.8	136	96	
153.6	185.6	227.2	208	228.8	132.8	137.6	94.4	
150.4	184	225.6	211.2	232	131.2	137.6	94.4	
150.4	185.6	225.6	211.2	232	131.2	137.6	92.8	
148.8	185.6	224	212.8	232	129.6	136	94.4	
147.2	185.6	224	212.8	233.6	129.6	136	92.8	
145.6	182.4	222.4	216	232	128	136	94.4	
142.4	179.2	222.4	216	232	128	134.4	96	
139.2	177.6	220.8	217.6	230.4	128	132.8	94.4	
140.8	172.8	216	216	230.4	128	132.8	96	
140.8	169.6	214.4	212.8	230.4	128	129.6	94.4	
