60 GB	50 GB	5 GB	45 GB	40 GB	35 GB	30 GB	25 GB	
1.76444	1.72851	33.7816	1.75847	1.79004	1.65861	1.58543	1.70657	
1.76805	1.73074	33.7864	1.74764	1.79234	1.66554	1.58686	1.70512	
1.77132	1.73118	33.7859	1.75302	1.78201	1.67187	1.59391	1.70609	
1.77638	1.73133	33.7807	1.75821	1.7777	1.67516	1.59627	1.71042	
1.77273	1.72183	33.7869	1.75726	1.75479	1.70771	1.59409	1.70446	
1.75854	1.70634	33.7549	1.75066	1.7504	1.7154	1.61184	1.71054	
1.75728	1.69775	33.7801	1.75275	1.74812	1.7147	1.61073	1.72004	
1.75227	1.67907	2.08461	1.75662	1.74283	1.72136	1.60443	1.72323	
1.7557	1.68432	2.07891	1.75473	1.72794	1.72884	1.60748	1.72814	
1.78524	1.67131	2.08263	1.75749	1.74908	1.7448	1.60682	1.75607	
1.79882	1.66801	2.07375	1.75758	1.74505	1.75158	1.61248	1.75071	
1.80445	1.67009	2.07559	1.76248	1.73584	1.75974	1.61962	1.75395	
1.81133	1.66526	2.08263	1.76708	1.73102	1.76038	1.61613	1.76218	
1.82242	1.66445	2.07042	1.76775	1.73133	1.76321	1.61586	1.76681	
1.8187	1.66054	2.03166	1.76238	1.73364	1.76145	1.60784	1.7671	
1.81367	1.64937	2.02411	1.75226	1.73067	1.75778	1.60468	1.76869	
1.8069	1.64272	2.01905	1.7526	1.72999	1.74457	1.60521	1.76908	
1.80367	1.63886	2.00817	1.7512	1.73209	1.76545	1.59848	1.77518	
1.79327	1.63266	1.97941	1.74771	1.72257	1.77	1.60199	1.77093	
1.79547	1.62765	1.97577	1.7376	1.71644	1.77081	1.60145	1.75028	
1.79475	1.62822	1.95664	1.7423	1.72137	1.76503	1.59816	1.74858	
1.78893	1.62365	1.94224	1.74731	1.71273	1.76507	1.60544	1.75613	
1.78496	1.61595	1.93889	1.74157	1.71659	1.76045	1.60212	1.75924	
1.78011	1.60214	1.93554	1.73968	1.70934	1.75248	1.60624	1.75431	
1.78273	1.59871	1.926	1.73805	1.71191	1.72189	1.6113	1.76165	
1.78925	1.59591	1.91741	1.73834	1.70664	1.71401	1.59593	1.75439	
1.78893	1.59368	1.91336	1.7365	1.69776	1.71045	1.59454	1.74711	
1.80701	1.59639	1.90496	1.73507	1.70481	1.70235	1.59842	1.73891	
1.81407	1.58028	1.89287	1.78812	1.71129	1.69818	1.59867	1.7311	
1.79403	1.58865	1.88205	1.79031	1.67685	1.69169	1.60662	1.70189	
1.79449	1.59076	1.86667	1.78675	1.6699	1.68965	1.61988	1.7051	
1.79006	1.58624	1.85604	1.77216	1.67262	1.68459	1.61533	1.70608	
1.78726	1.58004	1.80411	1.76603	1.67045	1.68644	1.6163	1.69555	
1.77946	1.5795	1.79224	1.76597	1.68391	1.67997	1.61889	1.68856	
1.77581	1.57418	1.7792	1.7651	1.68016	1.6836	1.62283	1.6905	
1.77877	1.57906	1.76962	1.76863	1.68014	1.68281	1.62349	1.68413	
1.77734	1.58473	1.75412	1.76943	1.70748	1.69596	1.62219	1.68307	
1.77811	1.58155	1.75059	1.77597	1.69835	1.67995	1.62787	1.67263	
1.77215	1.58007	1.74897	1.78271	1.70642	1.66375	1.62799	1.6666	
1.77082	1.58958	5.84982	1.78842	1.70034	1.65814	1.62673	1.66513	
