5 GB	30 GB	25 GB	20 GB	15 GB	10 GB	
340.8	792	?	?	?	841.6	
340.8	792	?	?	?	836.8	
342.4	793.6	?	?	?	833.6	
342.4	793.6	?	?	?	827.2	
342.4	792	?	?	?	822.4	
342.4	798.4	?	?	?	820.8	
342.4	804.8	?	?	?	824	
344	801.6	?	?	?	830.4	
344	800	?	?	?	832	
342.4	795.2	?	?	?	833.6	
344	796.8	?	?	?	835.2	
344	793.6	?	?	?	836.8	
344	793.6	?	?	?	836.8	
345.6	793.6	?	?	?	836.8	
344	784	?	?	?	838.4	
344	787.2	?	?	?	836.8	
345.6	788.8	?	?	?	832	
345.6	788.8	?	?	?	836.8	
344	787.2	?	?	?	840	
345.6	788.8	?	?	?	841.6	
345.6	787.2	?	?	?	841.6	
345.6	784	?	?	?	843.2	
345.6	782.4	?	?	?	843.2	
345.6	782.4	?	?	?	844.8	
347.2	776	?	?	?	843.2	
345.6	774.4	?	?	?	836.8	
345.6	771.2	?	?	?	830.4	
345.6	774.4	?	?	?	824	
345.6	774.4	?	?	?	817.6	
347.2	777.6	?	?	?	814.4	
347.2	764.8	?	?	?	812.8	
347.2	766.4	?	?	?	812.8	
347.2	764.8	?	?	?	809.6	
347.2	763.2	?	?	?	808	
348.8	771.2	?	?	?	803.2	
348.8	771.2	?	?	?	803.2	
347.2	771.2	?	?	?	809.6	
347.2	769.6	?	?	?	809.6	
348.8	772.8	?	?	?	808	
348.8	768	?	?	?	809.6	
348.8	769.6	?	?	?	816	
348.8	768	?	?	?	820.8	
348.8	769.6	?	?	?	822.4	
348.8	771.2	?	?	?	824	
348.8	779.2	?	?	?	830.4	
350.4	784	?	?	?	838.4	
350.4	787.2	?	?	?	843.2	
350.4	788.8	?	?	?	844.8	
348.8	790.4	?	?	?	848	
350.4	792	?	?	?	851.2	
348.8	803.2	?	?	?	849.6	
348.8	808	?	?	?	851.2	
348.8	811.2	?	?	?	856	
345.6	816	?	?	?	859.2	
340.8	814.4	?	?	?	862.4	
334.4	812.8	?	?	?	857.6	
328	804.8	?	?	?	848	
321.6	792	?	?	?	832	
316.8	771.2	?	?	?	814.4	
310.4	761.6	?	?	?	801.6	
305.6	747.2	?	?	?	801.6	
?	758.4	?	?	?	803.2	
?	761.6	?	?	?	809.6	
?	758.4	?	?	?	812.8	
?	753.6	?	?	?	816	
?	755.2	?	?	?	819.2	
?	753.6	?	?	?	824	
?	758.4	?	?	?	830.4	
?	764.8	?	?	?	836.8	
?	763.2	?	?	?	840	
?	768	?	?	?	848	
?	769.6	?	?	?	852.8	
?	768	?	?	?	854.4	
?	771.2	?	?	?	859.2	
?	777.6	?	?	?	864	
?	784	?	?	?	873.6	
?	796.8	?	?	?	884.8	
?	814.4	?	?	?	905.6	
?	840	?	?	?	929.6	
?	860.8	?	?	?	945.6	
?	878.4	?	?	?	948.8	
?	878.4	?	?	?	948.8	
?	881.6	?	?	?	948.8	
?	891.2	?	?	?	948.8	
?	900.8	?	?	?	948.8	
?	902.4	?	?	?	947.2	
?	910.4	?	?	?	948.8	
?	910.4	?	?	?	928	
?	908.8	?	?	?	896	
?	904	?	?	?	865.6	
?	875.2	?	?	?	835.2	
?	844.8	?	?	?	803.2	
?	817.6	?	?	?	772.8	
?	787.2	?	?	?	740.8	
?	756.8	?	?	?	710.4	
?	726.4	?	?	?	678.4	
?	696	?	?	?	648	
?	667.2	?	?	?	617.6	
?	636.8	?	?	?	585.6	
?	604.8	?	?	?	555.2	
?	576	?	?	?	523.2	
?	544	?	?	?	492.8	
?	513.6	?	?	?	462.4	
?	481.6	?	?	?	432	
?	451.2	?	?	?	400	
?	419.2	?	?	?	369.6	
?	388.8	?	?	?	339.2	
?	356.8	?	?	?	328	
?	328	?	?	?	328	
?	305.6	?	?	?	328	
?	302.4	?	?	?	328	
?	300.8	?	?	?	328	
?	299.2	?	?	?	328	
?	297.6	?	?	?	329.6	
?	292.8	?	?	?	328	
?	291.2	?	?	?	328	
?	288	?	?	?	329.6	
?	286.4	?	?	?	328	
?	286.4	?	?	?	329.6	
?	284.8	?	?	?	329.6	
?	283.2	?	?	?	331.2	
?	281.6	?	?	?	331.2	
?	280	?	?	?	331.2	
?	280	?	?	?	331.2	
?	276.8	?	?	?	332.8	
?	276.8	?	?	?	334.4	
?	275.2	?	?	?	332.8	
?	276.8	?	?	?	334.4	
?	276.8	?	?	?	336	
?	278.4	?	?	?	336	
?	280	?	?	?	336	
?	283.2	?	?	?	337.6	
?	283.2	?	?	?	337.6	
?	283.2	?	?	?	337.6	
?	286.4	?	?	?	339.2	
?	283.2	?	?	?	339.2	
?	286.4	?	?	?	339.2	
?	289.6	?	?	?	340.8	
?	288	?	?	?	339.2	
?	289.6	?	?	?	340.8	
?	291.2	?	?	?	340.8	
?	294.4	?	?	?	340.8	
?	296	?	?	?	340.8	
?	297.6	?	?	?	342.4	
?	300.8	?	?	?	342.4	
?	302.4	?	?	?	340.8	
?	299.2	?	?	?	342.4	
?	297.6	?	?	?	342.4	
?	299.2	?	?	?	342.4	
?	300.8	?	?	?	342.4	
?	302.4	?	?	?	342.4	
?	300.8	?	?	?	342.4	
?	304	?	?	?	344	
?	305.6	?	?	?	342.4	
?	305.6	?	?	?	342.4	
?	310.4	?	?	?	344	
?	310.4	?	?	?	344	
?	310.4	?	?	?	344	
?	312	?	?	?	344	
?	313.6	?	?	?	344	
?	313.6	?	?	?	344	
?	313.6	?	?	?	345.6	
?	313.6	?	?	?	344	
?	313.6	?	?	?	344	
