09/07/2015 (24 CPU)
  
%usr %sys %iowait
0.25 0.83 3.96
0.29 0.50 4.10
0.33 0.59 4.18
0.17 0.63 4.01
0.21 0.67 4.18
0.25 0.54 4.02
0.25 0.67 4.30
0.25 0.79 4.18
0.21 0.71 4.01
0.21 0.71 4.26
0.21 0.59 3.97
0.29 0.71 4.22
0.29 0.75 4.01
0.21 0.63 4.10
0.25 0.54 4.18
0.21 0.50 4.02
0.25 0.63 4.30
0.17 0.63 4.01
0.71 0.67 4.22
0.25 0.79 4.17
0.13 1.13 3.60
0.17 0.71 4.38
0.21 0.54 4.02
0.21 0.46 4.18
0.29 0.75 4.01
0.25 0.63 4.18
0.25 0.75 4.34
0.13 0.42 4.03
0.21 0.75 4.21
0.17 0.63 3.98
0.29 0.42 4.14
0.21 0.71 4.35
0.29 0.59 3.97
0.29 0.58 4.26
0.25 0.50 4.02
0.29 0.71 4.22
0.21 0.50 4.15
0.21 0.50 4.06
0.17 0.59 4.23
0.21 0.71 4.05
0.33 0.67 4.17
0.21 0.59 4.18
0.21 0.75 4.22
0.21 0.83 4.22
0.29 0.75 4.01
0.33 0.75 4.21
0.29 0.67 4.09
0.17 0.59 4.23
0.21 0.67 4.18
0.13 0.71 4.01
0.17 0.63 4.18
0.29 0.59 4.01
0.25 0.71 3.93
0.17 0.59 4.18
0.33 0.54 3.97
0.13 0.75 4.18
0.38 0.71 4.09
0.29 0.59 4.22
0.17 0.63 4.14
0.21 0.83 4.05
0.08 0.67 4.22
0.33 0.63 4.09
0.25 0.63 4.22
0.33 0.79 4.17
0.25 0.67 4.01
0.17 0.75 4.22
0.33 0.71 4.09
0.17 0.59 4.23
0.17 0.71 4.18
0.29 0.71 4.01
0.13 0.67 4.22
0.21 0.71 4.09
0.21 0.79 4.22
0.17 0.75 3.97
0.21 0.63 4.22
0.21 0.50 4.23
0.21 0.63 4.14
0.17 0.54 4.23
0.29 0.67 4.09
0.13 0.75 4.14
0.21 0.58 4.26
0.17 0.79 4.05
0.21 0.71 4.22
0.21 0.67 3.97
0.13 0.71 4.26
0.21 0.71 3.85
0.25 0.63 3.64
