45 GB	40 GB	35 GB	30 GB	
1.59785	1.73145	1.88399	1.62457	
1.59781	1.75645	1.87266	1.62021	
1.58823	1.74348	1.85002	1.61818	
1.59095	1.75384	1.88008	1.62586	
1.59472	1.74528	1.87337	1.63639	
1.59584	1.75887	1.83765	1.64601	
1.60054	1.75661	1.82647	1.64776	
1.60335	1.74206	1.82204	1.66257	
1.59976	1.7557	1.8197	1.69708	
1.5929	1.7478	1.79251	1.71076	
1.59206	1.71927	1.7873	1.69855	
1.59062	1.69926	1.75554	1.69697	
1.58718	1.7096	1.74513	1.70165	
1.59422	1.71668	1.74635	1.69456	
1.59429	1.72069	1.76323	1.69763	
1.59446	1.72164	1.78285	1.71066	
1.59176	1.72722	1.78214	1.72529	
1.58913	1.7249	1.78081	1.7369	
1.59323	1.70398	1.78586	1.741	
1.58427	1.699	1.78059	1.72479	
1.57237	1.72973	1.76299	1.72108	
1.57341	1.70348	1.74044	1.71154	
1.58277	1.72215	1.76267	1.71195	
1.57911	1.71068	1.73551	1.72432	
1.57053	1.72027	1.73999	1.72406	
1.56937	1.73371	1.74092	1.72314	
1.56333	1.73357	1.74265	1.72625	
1.56061	1.73588	1.74445	1.71586	
1.56074	1.71339	1.74563	1.69186	
1.56992	1.72293	1.75082	1.68617	
1.5715	1.75869	1.76377	1.70473	
1.5625	1.76755	1.76942	1.72829	
1.56345	1.75442	1.76606	1.73044	
1.55859	1.73306	1.75961	1.74077	
1.55973	1.72131	1.74188	1.7403	
1.56094	1.7334	1.71734	1.72445	
1.5661	1.75295	1.73459	1.71267	
1.56574	1.75672	1.72261	1.74312	
1.56317	1.77162	1.74274	1.75161	
1.56558	1.75927	1.77106	1.77892	
1.57088	1.72856	1.78619	1.77916	
1.56668	1.74117	1.82339	1.78808	
1.56075	1.72041	1.81968	1.79412	
1.59245	1.72654	1.81319	1.78743	
1.5899	1.71839	1.82438	1.77867	
1.58731	1.71186	1.83955	1.7761	
1.58906	1.71736	1.85182	1.7854	
1.58975	1.7155	1.86314	1.78367	
1.58904	1.71037	1.86984	1.77386	
1.58085	1.73719	1.90063	1.76924	
1.59516	1.70629	1.90128	1.7541	
1.60116	1.69953	1.89363	1.73197	
1.5957	1.69614	1.89232	1.73093	
1.59853	1.69676	1.89567	1.72479	
1.59866	1.70145	1.91572	1.71717	
1.59487	1.69065	1.95179	1.71302	
1.59306	1.68572	1.93592	1.70458	
1.59735	1.70148	1.92876	1.66261	
1.5962	1.68429	1.90783	1.67526	
1.60112	1.70307	1.88908	1.66098	
1.61017	1.70889	1.87619	1.6678	
1.61414	1.69544	1.85218	1.66757	
1.61332	1.73658	1.86231	1.65833	
1.57979	1.75831	1.87236	1.64213	
1.57852	1.77635	1.85557	1.64155	
1.57874	1.77374	1.819	1.6382	
1.58265	1.8007	1.83037	1.62872	
1.58417	1.81162	1.81267	1.64769	
1.5864	1.83006	1.82382	1.66381	
1.59024	1.85244	1.79366	1.67843	
1.57923	1.85547	1.78563	1.67824	
1.576	1.89058	1.78994	1.6768	
1.57568	1.89673	1.79234	1.67012	
1.58407	1.90678	1.81403	1.66543	
1.60775	1.91022	1.794	1.67655	
